goos: linux
goarch: amd64
pkg: github.com/derickschaefer/reserve/tests/benchmarks
cpu: DO-Regular
BenchmarkUnmarshalSeriesData_UNRATE     	     990	   1187136 ns/op	  86.72 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	    1030	   1167990 ns/op	  88.14 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     902	   1140004 ns/op	  90.30 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     968	   1140795 ns/op	  90.24 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     979	   1234154 ns/op	  83.41 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkUnmarshalSeriesData_UNRATE     	     963	   1227120 ns/op	  83.89 MB/s	  198089 B/op	    2172 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     553	   2288797 ns/op	  11.10 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     550	   2191622 ns/op	  11.59 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     573	   2142146 ns/op	  11.86 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     572	   2106561 ns/op	  12.06 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     558	   2185763 ns/op	  11.62 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     488	   2243480 ns/op	  11.32 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     525	   2279813 ns/op	  11.14 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     598	   2252008 ns/op	  11.28 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     537	   2424210 ns/op	  10.48 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_GDP             	     428	   2363248 ns/op	  10.75 MB/s	 1507132 B/op	    7911 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     187	   6208056 ns/op	  12.14 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     181	   6700156 ns/op	  11.25 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     210	   5943736 ns/op	  12.68 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     211	   5884980 ns/op	  12.81 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     204	   6000969 ns/op	  12.56 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     208	   6889632 ns/op	  10.94 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     199	   6293815 ns/op	  11.98 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     193	   5872284 ns/op	  12.84 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     187	   6384091 ns/op	  11.81 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_CPIAUCSL        	     218	   5607330 ns/op	  13.45 MB/s	 2211449 B/op	   23713 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     198	   7322854 ns/op	   9.32 MB/s	 2191964 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     189	   5729514 ns/op	  11.91 MB/s	 2191964 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     200	   6248633 ns/op	  10.92 MB/s	 2191964 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     199	   6186179 ns/op	  11.03 MB/s	 2191965 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     177	   5820464 ns/op	  11.72 MB/s	 2191963 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     196	   5561728 ns/op	  12.27 MB/s	 2191963 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     212	   5887271 ns/op	  11.59 MB/s	 2191964 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     181	   5709675 ns/op	  11.95 MB/s	 2191964 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     211	   5626185 ns/op	  12.13 MB/s	 2191963 B/op	   22802 allocs/op
BenchmarkJSONLRoundTrip_UNRATE          	     204	   5760679 ns/op	  11.85 MB/s	 2191964 B/op	   22802 allocs/op
BenchmarkMarshalMetaBatch               	   31725	     35133 ns/op	 442.44 MB/s	   16432 B/op	       3 allocs/op
BenchmarkMarshalMetaBatch               	   32262	     35819 ns/op	 433.96 MB/s	   16432 B/op	       3 allocs/op
BenchmarkMarshalMetaBatch               	   35434	     41410 ns/op	 375.37 MB/s	   16432 B/op	       3 allocs/op
BenchmarkMarshalMetaBatch               	   34442	     39873 ns/op	 389.83 MB/s	   16432 B/op	       3 allocs/op
BenchmarkMarshalMetaBatch               	   34456	     34555 ns/op	 449.80 MB/s	   16432 B/op	       3 allocs/op
BenchmarkMarshalMetaBatch               	   32623	     40769 ns/op	 381.27 MB/s	   16434 B/op	       3 allocs/op
BenchmarkMarshalMetaBatch               	   31678	     35077 ns/op	 443.12 MB/s	   16432 B/op	       3 allocs/op
BenchmarkMarshalMetaBatch               	   28294	     41519 ns/op	 374.36 MB/s	   16432 B/op	       3 allocs/op
BenchmarkMarshalMetaBatch               	   24469	     43202 ns/op	 359.80 MB/s	   16432 B/op	       3 allocs/op
BenchmarkMarshalMetaBatch               	   29863	     36937 ns/op	 420.79 MB/s	   16432 B/op	       3 allocs/op
BenchmarkUnmarshalMetaBatch             	   14611	     88142 ns/op	 176.34 MB/s	   31345 B/op	      48 allocs/op
BenchmarkUnmarshalMetaBatch             	   13656	     85113 ns/op	 182.58 MB/s	   31345 B/op	      48 allocs/op
BenchmarkUnmarshalMetaBatch             	   12320	     86336 ns/op	 180.03 MB/s	   31345 B/op	      48 allocs/op
BenchmarkUnmarshalMetaBatch             	   12696	     81231 ns/op	 191.33 MB/s	   31345 B/op	      48 allocs/op
BenchmarkUnmarshalMetaBatch             	   14341	     87370 ns/op	 177.90 MB/s	   31345 B/op	      48 allocs/op
BenchmarkUnmarshalMetaBatch             	   13692	     81340 ns/op	 191.04 MB/s	   31345 B/op	      48 allocs/op
BenchmarkUnmarshalMetaBatch             	   14724	     84123 ns/op	 184.78 MB/s	   31345 B/op	      48 allocs/op
BenchmarkUnmarshalMetaBatch             	   14858	     80113 ns/op	 194.00 MB/s	   31345 B/op	      48 allocs/op
BenchmarkUnmarshalMetaBatch             	   14569	     86208 ns/op	 180.30 MB/s	   31345 B/op	      48 allocs/op
BenchmarkUnmarshalMetaBatch             	   13508	     85223 ns/op	 182.39 MB/s	   31345 B/op	      48 allocs/op
BenchmarkV2UnmarshalRawObs_GDP          	    5109	    246151 ns/op	 129.16 MB/s	   46690 B/op	     573 allocs/op
BenchmarkV2UnmarshalRawObs_GDP          	    5150	    266195 ns/op	 119.43 MB/s	   46690 B/op	     573 allocs/op
BenchmarkV2UnmarshalRawObs_GDP          	    5311	    258843 ns/op	 122.82 MB/s	   46690 B/op	     573 allocs/op
BenchmarkV2UnmarshalRawObs_GDP          	    4879	    245331 ns/op	 129.59 MB/s	   46690 B/op	     573 allocs/op
BenchmarkV2UnmarshalRawObs_GDP          	    5004	    293142 ns/op	 108.45 MB/s	   46690 B/op	     573 allocs/op
BenchmarkV2UnmarshalRawObs_GDP          	    4362	    258231 ns/op	 123.11 MB/s	   46690 B/op	     573 allocs/op
BenchmarkV2UnmarshalRawObs_GDP          	    4742	    257109 ns/op	 123.65 MB/s	   46690 B/op	     573 allocs/op
BenchmarkV2UnmarshalRawObs_GDP          	    5071	    255440 ns/op	 124.46 MB/s	   46690 B/op	     573 allocs/op
BenchmarkV2UnmarshalRawObs_GDP          	    4621	    251482 ns/op	 126.42 MB/s	   46690 B/op	     573 allocs/op
BenchmarkV2UnmarshalRawObs_GDP          	    4538	    251078 ns/op	 126.62 MB/s	   46690 B/op	     573 allocs/op
BenchmarkV2UnmarshalRawObs_CPIAUCSL     	    1590	    732082 ns/op	 125.27 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkV2UnmarshalRawObs_CPIAUCSL     	    1597	    768140 ns/op	 119.39 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkV2UnmarshalRawObs_CPIAUCSL     	    1480	    776333 ns/op	 118.13 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkV2UnmarshalRawObs_CPIAUCSL     	    1622	    853047 ns/op	 107.51 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkV2UnmarshalRawObs_CPIAUCSL     	    1687	    898646 ns/op	 102.05 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkV2UnmarshalRawObs_CPIAUCSL     	    1642	    757411 ns/op	 121.08 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkV2UnmarshalRawObs_CPIAUCSL     	    1654	    765528 ns/op	 119.80 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkV2UnmarshalRawObs_CPIAUCSL     	    1434	    728692 ns/op	 125.85 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkV2UnmarshalRawObs_CPIAUCSL     	    1638	    812427 ns/op	 112.88 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkV2UnmarshalRawObs_CPIAUCSL     	    1268	   1007152 ns/op	  91.06 MB/s	  163527 B/op	    1858 allocs/op
BenchmarkV2UnmarshalRawObs_UNRATE       	    1647	    742903 ns/op	 118.95 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkV2UnmarshalRawObs_UNRATE       	    1725	    728344 ns/op	 121.33 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkV2UnmarshalRawObs_UNRATE       	    1622	    767564 ns/op	 115.13 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkV2UnmarshalRawObs_UNRATE       	    1533	    837344 ns/op	 105.53 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkV2UnmarshalRawObs_UNRATE       	    1701	    728102 ns/op	 121.37 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkV2UnmarshalRawObs_UNRATE       	    1630	    782525 ns/op	 112.93 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkV2UnmarshalRawObs_UNRATE       	    1659	    785410 ns/op	 112.51 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkV2UnmarshalRawObs_UNRATE       	    1504	    746683 ns/op	 118.35 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkV2UnmarshalRawObs_UNRATE       	    1611	    768152 ns/op	 115.04 MB/s	  160935 B/op	    1237 allocs/op
BenchmarkV2UnmarshalRawObs_UNRATE       	    1470	    746325 ns/op	 118.40 MB/s	  160935 B/op	    1237 allocs/op
